country,city,iso3,iso3_cit,eiu_region,year,value,rank
Denmark,Copenhagen,DNK,DNK_COP,Western Europe,2025,98.0,1
Austria,Vienna,AUT,AUT_VIE,Western Europe,2025,97.1,2
Switzerland,Zurich,CHE,CHE_ZUR,Western Europe,2025,97.1,2
Australia,Melbourne,AUS,AUS_MEL,Asia & Australasia,2025,97.0,4
Switzerland,Geneva,CHE,CHE_GEN,Western Europe,2025,96.8,5
Australia,Sydney,AUS,AUS_SYD,Asia & Australasia,2025,96.6,6
Japan,Osaka,JPN,JPN_OSA,Asia & Australasia,2025,96.0,7
New Zealand,Auckland,NZL,NZL_AUC,Asia & Australasia,2025,96.0,7
Australia,Adelaide,AUS,AUS_ADE,Asia & Australasia,2025,95.9,9
Canada,Vancouver,CAN,CAN_VAN,North America,2025,95.8,10
Finland,Helsinki,FIN,FIN_HEL,Western Europe,2025,95.6,11
Luxembourg,Luxembourg,LUX,LUX_LUX,Western Europe,2025,95.6,11
Japan,Tokyo,JPN,JPN_TOK,Asia & Australasia,2025,95.5,13
Australia,Perth,AUS,AUS_PER,Asia & Australasia,2025,95.2,14
Australia,Brisbane,AUS,AUS_BRI,Asia & Australasia,2025,95.0,15
Canada,Toronto,CAN,CAN_TOR,North America,2025,94.9,16
Germany,Frankfurt,DEU,DEU_FRA,Western Europe,2025,94.9,16
Canada,Calgary,CAN,CAN_CAL,North America,2025,94.7,18
Canada,Montreal,CAN,CAN_MON,North America,2025,93.8,19
New Zealand,Wellington,NZL,NZL_WEL,Asia & Australasia,2025,93.7,20
Germany,Berlin,DEU,DEU_BER,Western Europe,2025,93.6,21
France,Paris,FRA,FRA_PAR,Western Europe,2025,93.6,21
US,Honolulu,USA,USA_HON,North America,2025,93.4,23
Norway,Oslo,NOR,NOR_OSL,Western Europe,2025,93.4,23
Netherlands,Amsterdam,NLD,NLD_AMS,Western Europe,2025,93.3,25
Singapore,Singapore,SGP,SGP_SIN,Asia & Australasia,2025,92.9,26
Germany,Munich,DEU,DEU_MUN,Western Europe,2025,92.7,27
Germany,Hamburg,DEU,DEU_HAM,Western Europe,2025,92.7,27
US,Atlanta,USA,USA_ATL,North America,2025,92.3,29
Germany,Stuttgart,DEU,DEU_STU,Western Europe,2025,92.1,30
US,Pittsburgh,USA,USA_PIT,North America,2025,92.1,30
Hungary,Budapest,HUN,HUN_BUD,Eastern Europe,2025,92.0,32
Germany,Dusseldorf,DEU,DEU_DUS,Western Europe,2025,91.9,33
US,Seattle,USA,USA_SEA,North America,2025,91.6,34
Belgium,Brussels,BEL,BEL_BRU,Western Europe,2025,91.4,35
Spain,Barcelona,ESP,ESP_BAR,Western Europe,2025,91.4,35
France,Lyon,FRA,FRA_LYO,Western Europe,2025,91.3,37
US,"Washington, DC",USA,USA_WAS,North America,2025,91.2,38
Ireland,Dublin,IRL,IRL_DUB,Western Europe,2025,91.1,39
US,Chicago,USA,USA_CHI,North America,2025,91.1,39
Spain,Madrid,ESP,ESP_MAD,Western Europe,2025,91.1,39
Sweden,Stockholm,SWE,SWE_STO,Western Europe,2025,90.8,42
US,Boston,USA,USA_BOS,North America,2025,90.5,43
US,Miami,USA,USA_MIA,North America,2025,90.4,44
US,Portland,USA,USA_POR,North America,2025,90.4,44
Hong Kong,Hong Kong,HKG,CHN_HON,Asia & Australasia,2025,90.4,44
US,San Francisco,USA,USA_SAN,North America,2025,90.3,47
US,Minneapolis,USA,USA_MIN,North America,2025,90.2,48
Italy,Milan,ITA,ITA_MIL,Western Europe,2025,89.5,49
US,Charlotte,USA,USA_CHA,North America,2025,89.4,50
US,Indianapolis,USA,USA_IND,North America,2025,89.4,50
UK,Manchester,GBR,GBR_MAN,Western Europe,2025,89.3,52
Netherlands,Rotterdam,NLD,NLD_ROT,Western Europe,2025,89.3,52
UK,London,GBR,GBR_LON,Western Europe,2025,89.2,54
Iceland,Reykjavik,ISL,ISL_REY,Western Europe,2025,89.2,54
US,"Fort Lee, NJ",USA,USA_FTL,North America,2025,88.7,56
US,Los Angeles,USA,USA_LOS,North America,2025,88.6,57
US,Cleveland,USA,USA_CLE,North America,2025,88.5,58
South Korea,Seoul,KOR,KOR_SEO,Asia & Australasia,2025,88.5,58
Portugal,Lisbon,PRT,PRT_LIS,Western Europe,2025,88.3,60
US,San Diego,USA,USA_SDG,North America,2025,88.1,61
Italy,Rome,ITA,ITA_ROM,Western Europe,2025,87.7,62
US,Houston,USA,USA_HOU,North America,2025,87.6,63
United Kingdom,Edinburgh,GBR,GBR_EDI,Western Europe,2025,87.3,64
South Korea,Busan,KOR,KOR_BUS,Asia & Australasia,2025,86.7,65
US,Detroit,USA,USA_DET,North America,2025,86.3,66
Czech Rep,Prague,CZE,CZE_PRA,Eastern Europe,2025,85.6,67
Slovakia,Bratislava,SVK,SVK_BRA,Eastern Europe,2025,85.5,68
Taiwan,Taipei,TWN,TWN_TAI,Asia & Australasia,2025,85.4,69
