city,country,eiu_region,year,value,rank
Singapore,Singapore,Asia & Australasia,2017,116,1
New York,US,North America,2017,100,13
Tel Aviv,Israel,Middle East & Africa,2017,103,9
Hong Kong,China,Asia & Australasia,2017,111,4
Los Angeles,US,North America,2017,99,14
Zurich,Switzerland,Western Europe,2017,112,2
Geneva,Switzerland,Western Europe,2017,106,6
San Francisco,US,North America,2017,84,37
Paris,France,Western Europe,2017,112,2
Copenhagen,Denmark,Western Europe,2017,105,8
Sydney,Australia,Asia & Australasia,2017,102,10
Houston,US,North America,2017,83,41
Oslo,Norway,Western Europe,2017,107,5
Minneapolis,US,North America,2017,88,26
Melbourne,Australia,Asia & Australasia,2017,99,14
Seattle,US,North America,2017,80,46
Seoul,South Korea,Asia & Australasia,2017,106,6
Shanghai,China,Asia & Australasia,2017,92,21
Amman,Jordan,Middle East & Africa,2017,87,28
Shenzhen,China,Asia & Australasia,2017,90,23
Washington DC,US,North America,2017,84,37
Boston,US,North America,2017,75,56
Vienna,Austria,Western Europe,2017,96,17
Vancouver,Canada,North America,2017,83,41
Pittsburgh,US,North America,2017,79,50
Chicago,US,North America,2017,83,41
Helsinki,Finland,Western Europe,2017,95,18
London,UK ,Western Europe,2017,86,30
Dublin,Ireland,Western Europe,2017,93,19
Frankfurt,Germany,Western Europe,2017,93,19
Milan,Italy,Western Europe,2017,91,22
Brisbane,Australia,Asia & Australasia,2017,88,26
Beijing,China,Asia & Australasia,2017,80,46
Reykjavik,Iceland,Western Europe,2017,99,14
Dalian,China,Asia & Australasia,2017,83,41
Tokyo,Japan,Asia & Australasia,2017,101,11
Wellington,New Zealand,Asia & Australasia,2017,89,24
Auckland,New Zealand,Asia & Australasia,2017,89,24
Adelaide,Australia,Asia & Australasia,2017,86,30
Honolulu,US,North America,2017,77,53
Moscow,Russia,Eastern Europe,2017,66,86
Osaka,Japan,Asia & Australasia,2017,101,11
Munich,Germany,Western Europe,2017,86,30
Mexico City,Mexico,Latin America & the Caribbean,2017,74,59
Hamburg,Germany,Western Europe,2017,87,28
Atlanta,US,North America,2017,69,77
Barcelona,Spain,Western Europe,2017,85,34
Madrid,Spain,Western Europe,2017,85,34
Amsterdam,Netherlands,Western Europe,2017,81,45
Dusseldorf,Germany,Western Europe,2017,85,34
Abu Dhabi,UAE,Middle East & Africa,2017,73,62
Lexington,US,North America,2017,72,66
Miami,US,North America,2017,74,59
Cleveland,US,North America,2017,70,75
Nouméa,New Caledonia,Asia & Australasia,2017,77,53
Brussels,Belgium,Western Europe,2017,84,37
Taipei,Taiwan,Asia & Australasia,2017,77,53
Montreal,Canada,North America,2017,74,59
Tianjin,China,Asia & Australasia,2017,72,66
Manchester,UK,Western Europe,2017,75,56
Rome,Italy,Western Europe,2017,86,30
Berlin,Germany,Western Europe,2017,80,46
Suzhou,China,Asia & Australasia,2017,71,72
Guangzhou,China,Asia & Australasia,2017,73,62
Perth,Australia,Asia & Australasia,2017,80,46
Detroit,US,North America,2017,70,75
St Petersburg,Russia,Eastern Europe,2017,60,98
Hanoi,Vietnam,Asia & Australasia,2017,72,66
