city,eiu_region,year,value
Zurich,Western Europe,2023,104
Singapore,Asia & Australasia,2023,104
Geneva,Western Europe,2023,100
New York,North America,2023,100
Hong Kong,Asia & Australasia,2023,98
Los Angeles,North America,2023,97
Paris,Western Europe,2023,91
Tel Aviv,Middle East & Africa,2023,89
Copenhagen,Western Europe,2023,89
San Francisco,North America,2023,86
Vienna,Western Europe,2023,85
London,Western Europe,2023,83
Frankfurt,Western Europe,2023,82
Dublin,Western Europe,2023,82
Seoul,Asia & Australasia,2023,82
Mexico city,Latin America & the Caribbean,2023,81
Helsinki,Western Europe,2023,81
Reykjavik,Western Europe,2023,81
Houston,North America,2023,81
Seattle,North America,2023,81
Sydney,Asia & Australasia,2023,81
Minneapolis,North America,2023,80
San Diego,North America,2023,80
Milan,Western Europe,2023,80
"Washington, DC",North America,2023,79
Amman,Middle East & Africa,2023,78
Munich,Western Europe,2023,78
Boston,North America,2023,78
Melbourne,Asia & Australasia,2023,78
Pittsburgh,North America,2023,77
Oslo,Western Europe,2023,77
Hamburg,Western Europe,2023,77
Chicago,North America,2023,76
Vancouver,North America,2023,76
Edinburgh,Western Europe,2023,76
Barcelona,Western Europe,2023,75
Madrid,Western Europe,2023,75
Amsterdam,Western Europe,2023,75
Stuttgart,Western Europe,2023,75
Shanghai,Asia & Australasia,2023,75
Düsseldorf,Western Europe,2023,74
Nouméa,Asia & Australasia,2023,73
Brussels,Western Europe,2023,73
Manchester,Western Europe,2023,73
Berlin,Western Europe,2023,73
Shenzhen,Asia & Australasia,2023,73
Honolulu,North America,2023,72
Wellington,Asia & Australasia,2023,72
Auckland,Asia & Australasia,2023,72
Rome,Western Europe,2023,72
Santiago de Querétaro,Latin America & the Caribbean,2023,71
Miami,North America,2023,71
Saipan,North America,2023,71
Adelaide,Asia & Australasia,2023,71
Brisbane,Asia & Australasia,2023,71
Portland,North America,2023,70
Atlanta,North America,2023,70
Abu Dhabi,Middle East & Africa,2023,70
Charlotte,North America,2023,70
Lexington,North America,2023,69
Cleveland,North America,2023,69
Fort Lee,North America,2023,69
Indianapolis,North America,2023,69
Detroit,North America,2023,69
Lyon,Western Europe,2023,69
Tokyo,Asia & Australasia,2023,69
Beijing,Asia & Australasia,2023,69
Dalian,Asia & Australasia,2023,69
Montevideo,Latin America & the Caribbean,2023,68
Bangkok,Asia & Australasia,2023,67
San José,Latin America & the Caribbean,2023,67
Osaka,Asia & Australasia,2023,67
San Juan,North America,2023,66
Lima,Latin America & the Caribbean,2023,66
Taipei,Asia & Australasia,2023,66
Luxembourg,Western Europe,2023,66
Perth,Asia & Australasia,2023,65
Harare,Middle East & Africa,2023,65
Rotterdam,Western Europe,2023,65
Nanjing,Asia & Australasia,2023,65
Wuxi,Asia & Australasia,2023,65
Prague,Eastern Europe,2023,64
Hanoi,Asia & Australasia,2023,64
Phnom Penh,Asia & Australasia,2023,64
Aguascalientes,Latin America & the Caribbean,2023,64
Dubai,Middle East & Africa,2023,64
Montreal,North America,2023,64
Tianjin,Asia & Australasia,2023,64
Wuhan,Asia & Australasia,2023,64
