"DATES","Assets","Debts","NET"
"February 2013","$6,466.54","$95.99","$6,370.55"
"March 2013","$4,419.68","$57.42","$4,362.26"
"April 2013","$122.56","$0.00","$122.56"
"May 2013","$122.56","$0.00","$122.56"
"June 2013","$510.52","$0.00","$510.52"
"July 2013","$510.52","$0.00","$510.52"
"August 2013","$211.18","$0.00","$211.18"
"September 2013","$211.18","$0.00","$211.18"
"October 2013","$211.18","$0.00","$211.18"
"November 2013","$211.18","$0.00","$211.18"
"December 2013","$211.18","$0.00","$211.18"
"January 2014","$18,690.67","$0.00","$18,690.67"
"February 2014","$22,226.46","$0.00","$22,226.46"
"March 2014","$24,674.86","$0.00","$24,674.86"
"April 2014","$27,623.77","$0.00","$27,623.77"
"May 2014","$34,468.98","$2.00","$34,466.98"
"June 2014","$32,993.70","$5.00","$32,988.70"
"July 2014","$77,776.57","$324.36","$77,452.21"
"August 2014","$80,561.95","$61.96","$80,499.99"
"September 2014","$65,194.93","$38.13","$65,156.80"
"October 2014","$72,139.76","$357.12","$71,782.64"
"November 2014","$87,165.94","$54.55","$87,111.39"
"December 2014","$99,565.49","$36.53","$99,528.96"
"January 2015","$83,107.67","$31.73","$83,075.94"
"February 2015","$92,646.24","$0.00","$92,646.24"
"March 2015","$94,619.46","$113.44","$94,506.02"
"April 2015","$105,138.05","$128.08","$105,009.97"
"May 2015","$105,812.75","$0.00","$105,812.75"
"June 2015","$100,259.40","$28.81","$100,230.59"
"July 2015","$101,355.12","$215.51","$101,139.61"
"August 2015","$100,812.63","$803.37","$100,009.26"
"September 2015","$97,353.25","$1,235.43","$96,117.82"
"October 2015","$113,533.34","$80.16","$113,453.18"
"November 2015","$122,009.93","$133.25","$121,876.68"
"December 2015","$112,082.53","$368.52","$111,714.01"
"January 2016","$112,268.51","$1,068.59","$111,199.92"
"February 2016","$119,905.88","$116.20","$119,789.68"
"March 2016","$125,046.49","$131.72","$124,914.77"
"April 2016","$128,423.30","$37.26","$128,386.04"
"May 2016","$136,727.92","$29.29","$136,698.63"
"June 2016","$143,049.19","$22.38","$143,026.81"
"July 2016","$153,407.24","$171.16","$153,236.08"
